Length(mm),Welding Current (avg) (A),Welding Voltage (avg) (V),Welding Gas Usage (l),Electricity Usage (W),Welding Cycle Time
21.00,94.22,12.65,4.62,0.01,16.66
26.00,104.41,11.44,4.33,0.00,16.75
26.00,107.49,11.35,4.96,0.00,16.97
32.00,107.50,11.73,4.70,0.00,17.02
49.00,95.39,11.43,4.99,0.01,17.04
26.00,104.66,14.40,4.25,0.00,17.22
26.00,105.87,11.60,4.92,0.00,17.31
32.00,108.05,12.26,4.69,0.00,17.38
32.00,104.15,12.07,4.79,0.00,17.52
32.00,109.11,13.29,4.79,0.00,17.72
21.00,105.33,12.67,4.30,0.00,17.89
21.00,105.57,11.33,5.01,0.01,18.05
26.00,111.99,12.60,3.65,0.00,18.13
21.00,101.42,11.73,5.21,0.01,18.22
21.00,121.19,13.78,4.52,0.00,18.45
21.00,97.85,12.16,5.22,0.01,19.17
32.00,109.62,12.32,5.42,0.00,19.94
49.00,94.36,12.05,5.38,0.01,20.06
32.00,106.71,10.98,5.00,0.01,20.30
