1.91,21,101.83,13.78,4.52,0.51,0,0.01,160.4
1.91,21,103.19,13.46,4.93,0.49,0,0,0
1.91,21,98.39,14.12,4.43,0.48,0,0,0
1.92,21,97.79,13.92,4.32,0.45,0,0,0
1.92,21,107.24,12.1,4.17,0.47,0,0,0
1.92,21,117.33,12.65,4.71,0.51,0,0.01,187.48
1.92,21,103.99,13.4,4.97,0.5,0,0,0
1.92,21,103.59,13.34,5,0.51,0,0,0
1.92,21,97.99,14.56,4.62,0.51,0,0,0
1.92,21,96.79,14.26,4.38,0.49,0,0,0
1.92,21,121.6,12.5,4.51,0.51,0,0.01,159.99
1.94,21,107.16,12.55,4.36,0.52,0,0.01,153.71
1.94,21,108.19,12.68,4.79,0.51,0,0.01,163.32
1.94,21,99.49,13.73,3.73,0.45,0,0,0
1.94,21,108.2,12.58,3.8,0.47,0,0.01,143.28
1.95,21,121.33,12.33,4.54,0.49,0,0.01,189.02
1.95,21,94.19,15.02,4.2,0.52,0,0,0
1.95,21,94.49,14.65,3.74,0.47,0,0,0
1.95,21,103.79,12.76,3.95,0.47,0,0,0
1.95,21,100.99,13.65,4.41,0.51,0,0,0
1.97,21,117.16,13.03,4.64,0.49,0,0.01,160.73
1.97,21,98.19,13.78,4.41,0.48,0,0,0
1.97,21,94.79,14.72,4.31,0.48,0,0,0
1.98,21,100.19,13.92,4.06,0.5,0,0,0
1.98,21,103.19,13.06,4.29,0.5,0,0,0
1.98,21,103.79,12.98,3.88,0.49,0,0,0
1.98,21,109.66,12.65,4.61,0.53,0,0.01,195.35
1.99,21,109.19,12.56,4.4,0.49,0,0,0
1.99,21,109.19,12.52,3.74,0.5,0,0.01,143.9
1.99,21,96.8,14.46,4.45,0.52,0,0,0
2,21,107.99,12.55,4.56,0.49,0,0,0
2,21,98.24,13.93,3.73,0.49,0,0,0
2,21,108.59,12.74,4.62,0.53,0,0.01,164.7
2,21,119.79,12.1,4.48,0.52,0,0.01,190.72
2,21,103.4,12.7,4.82,0.54,0,0,0
2,21,94.59,14.42,4.26,0.52,0,0,0
2,21,97.4,14.28,4.34,0.53,0,0.01,165.57
2.02,21,93.19,15.38,4.31,0.47,0,0,0
2.02,21,104.99,12.8,3.56,0.48,0,0,0
2.02,21,96,14.34,4.51,0.54,0,0,0
2.02,21,98.2,14.08,4.33,0.51,0,0,0
2.02,21,97.39,14.4,4.62,0.53,0,0,0
2.02,21,102.14,13.79,4.36,0.54,0,0.01,156.44
2.02,21,107,11.95,3.63,0.48,0,0,0
2.02,21,107.24,12,4.16,0.48,0,0,0
2.02,21,102.66,13.08,4.67,0.52,0,0,0
2.03,21,94.74,14.9,4.11,0.5,0,0,0
2.03,21,122.39,12.88,5.21,0.5,0,0.01,207.42
2.03,21,117.79,13.08,3.82,0.51,0,0.01,162.18
2.03,21,96.59,13.52,4.11,0.51,0,0.01,155.46
2.03,21,114.99,13.28,4.58,0.52,0,0.01,192.93
2.03,21,109.33,14.03,4.06,0.49,0,0.01,193.79
2.03,21,102.33,14.15,4.69,0.55,0,0.01,165.5
2.03,21,104.79,12.7,4.31,0.51,0,0,0
2.03,21,117.39,12.86,4.35,0.52,0,0.01,158.91
